listing_id,neighborhood_impact_score,hotel_keywords_found,human_keywords_found
1288253423887702560,0,0,0
1288370164683450443,-1,0,4
1289119767230489762,1,1,0
1290184003932520207,0,0,0
1290708750763892346,0,0,2
1291291872464104905,0,0,0
12925207,-1,0,5
1293228641089895648,0,0,0
1293282016377861526,0,1,2
1293390735268278511,0,0,1
1294710856950562405,0,0,0
1295725018875092598,0,1,1
1295725387409620418,1,2,1
1295725758773317286,0,0,1
1295726126352827317,0,0,0
1297098776025027363,0,0,0
1299146400486795379,0,0,0
1301263,0,0,0
1302698857800521651,1,1,0
1303490442547957741,0,0,2
1303499542785783641,0,0,0
1303597109114692998,0,0,0
1303674009398073129,1,1,0
1303827693187247038,0,0,0
1304972815275099930,0,0,1
13050861,0,0,1
13051365,0,1,2
1305824687845673893,0,0,0
1307055083959854928,-1,1,5
1307884086761976229,1,1,0
1308500614364749943,0,0,1
1308698544662556346,0,0,0
1309224596320319012,0,0,0
1309267923028220545,0,0,1
1310138867495394016,0,0,0
1310806498332151969,0,0,1
1311042875630971017,0,0,0
1312413721541390378,0,0,0
1313660429649232916,1,1,0
1316470489716405381,0,0,0
1317136448398919822,0,0,1
1317563310400162858,0,0,0
1317938676577447008,0,0,1
13181865,0,0,0
1319453483630703270,0,0,0
1320258810840921315,0,2,3
1320263207519651164,0,1,3
1320308926694652703,0,0,0
1323409381525228834,0,0,0
1323735956346363002,0,0,0
1323754562761490527,0,0,0
1323786781876906576,0,0,0
1325315121866414688,0,0,0
13257209,-1,0,4
1325906237609102167,0,0,0
13262896,0,0,0
1326931694706146306,-1,0,3
1327809179099410950,0,0,0
1328074955265919754,0,0,2
1328204933748907067,0,0,1
1328239457085041016,0,0,0
1329018,-1,3,6
13293072,0,0,1
1329508482161322762,0,1,2
13295529,-1,2,6
1329556391302746168,0,0,0
1330307038444155050,0,0,0
1330790437011371935,0,0,1
1334050488134348258,1,1,0
13344259,0,3,5
1334627398887708164,0,0,0
1335396831374632569,0,0,0
1335459233506115634,0,0,2
1335492688471473418,0,0,0
1335739215971771039,0,2,2
1336131,0,0,0
1337589015565043605,0,0,1
1339085987843323388,0,0,0
1339118362019852345,0,0,0
1339118897924933226,0,0,0
1339900344421667985,0,0,1
1339946099207182078,0,0,0
1340417612493974939,0,1,1
1345682587681539885,0,0,0
1345700038781623581,0,0,0
1347613349063678388,-1,0,4
1349100945622306529,0,1,2
1349249556225411718,0,0,0
1349801010920590255,1,1,0
1349872315638755063,0,0,0
1349969719433567839,0,0,2
1350709835208348628,0,0,0
1351368525066878264,0,0,0
1351524445375614781,0,0,0
13519930,-1,0,3
1352096229458621888,0,0,2
1353338,1,1,0
1353582680235461409,0,0,0
1354385071797382983,0,0,0
1354426278009980392,0,0,1
1355564589418719119,0,1,3
1356355978030241489,0,1,1
1356386315729951049,0,0,0
1358169476898991625,0,0,0
1358564944274463304,1,2,0
1358758766372326962,0,0,0
1358833419629235014,0,0,1
1359986,-1,0,3
13600836,-1,0,3
1360164488403976732,1,1,0
13602090,-1,2,7
1360365221167088717,0,0,0
1360683907820984033,0,0,1
1360683909446312693,1,2,1
1361435393190497551,1,3,0
1362210670226127044,0,0,0
1363645068719672089,1,1,0
1364437159178100227,0,0,0
1364448017356446941,0,0,0
1364647881053307736,0,0,0
1365081852415604081,0,1,2
1365215060036138469,0,0,1
1365490132765976571,0,0,0
1365768408887550162,1,1,0
1366561277239605936,0,0,0
1366746794717675352,0,0,0
1367410988415033017,0,0,0
1368820883296784519,1,1,0
1369023483028529289,1,1,0
1369038298082648024,0,0,0
13705258,0,1,1
1370857135134307699,0,0,0
1372419541744619340,0,0,0
